single,The 'pet vs. cattle' metaphor for servers: which property best describes 'cattle' servers?,"Interchangeable, recreated from a description when broken — never repaired individually",Individually named and cared for; repaired when something goes wrong,"More expensive hardware, chosen for higher reliability","Physical machines, as opposed to virtual machines",,,,,,1,vs-ch05
single,Infrastructure as Code (IaC) explicitly FORBIDS one practice. Which one?,Interactive / manual configuration of infrastructure,Storing configuration in version control,Using declarative descriptions of desired state,Running automated configuration tools on a schedule,,,,,,1,vs-ch05
single,Ansible playbooks use which format to describe tasks?,YAML,JSON,Hashicorp Configuration Language (HCL),Python scripts with a special decorator,,,,,,1,vs-ch05
single,The cloud-native network layer uses the Container Network Interface (CNI). What does a CNI plugin primarily do?,"Sets up overlay networks for distributed app containers, with isolation and resource control",Manages persistent block/file storage for stateful containers,Schedules containers onto cluster nodes based on resource availability,"Defines how container images are built, tagged, and pushed to a registry",,,,,,1,vs-ch05
single,Kubernetes and Knative are both scheduling/orchestration options. For which workload type is Knative explicitly described as LESS suitable?,Stateful workloads,"Stateless, event-driven workloads",Batch jobs with high CPU demand,Services requiring network isolation,,,,,,1,vs-ch05
single,What distinguishes a service mesh from a single service proxy?,"A service mesh adds dependability, observability, and security at the PLATFORM level — without changing application code",A service mesh is just multiple service proxies combined with extra application-level code,A service mesh only handles TLS termination; proxies handle load balancing,"A service mesh replaces the service registry, making etcd unnecessary",,,,,,1,vs-ch05
single,"In Continuous Integration (CI), what happens AUTOMATICALLY when a developer pushes code to the repository?",A new artifact is built and the test suite is run,The code is immediately deployed to all production instances,All running instances are restarted to pick up the new code,A human reviewer must approve the change before anything runs,,,,,,1,vs-ch05
single,"In GitOps, what happens if someone manually modifies the running Kubernetes cluster (outside of Git)?",The change is automatically rolled back to match the Git repository,The Git repository is updated to match the cluster's new state,An alert is raised but no automated action is taken,The GitOps agent pauses synchronisation until a human resolves the conflict,,,,,,1,vs-ch05
single,What are the THREE pillars of observability as described in the CNCF landscape?,"Metrics, logs, and traces","Monitoring, alerting, and dashboards","CPU utilization, memory usage, and network throughput","Uptime, latency, and error rate",,,,,,1,vs-ch05
single,"In Kubernetes, what does an Operator do?",Implements a reconciliation loop that brings actual cluster state towards the desired state declared in a Custom Resource,Provides a web UI for managing Kubernetes deployments,Replaces etcd as the backing distributed key/value store,Automatically scales pods based solely on CPU utilisation,,,,,,1,vs-ch05
