type,question,a1,a2,a3,a4,a5,a6,a7,a8,a9,correct,tags
single,What is the main advantage of a Distributed Hash Table (DHT) over a memcached-style key-value store with an explicit server list?,DHTs use faster hash functions,DHTs do not require clients to know the full list of servers,DHTs replicate every key on every node,DHTs avoid the use of hash functions entirely,DHTs use IP addresses as keys,"","","","",2,vs-ch06
single,In Chord's finger table for a node with GUID n using m-bit identifiers what is the i-th finger entry pointing to?,The node responsible for GUID n + i mod 2^m,The node responsible for GUID n + 2^(i-1) mod 2^m,The node responsible for GUID n * 2^i mod 2^m,The node with the i-th smallest GUID in the ring,The node responsible for GUID n - 2^(i-1) mod 2^m,"","","","",2,vs-ch06
single,How many nodes does Chord contact on average to find the node responsible for a random GUID in a ring of N nodes?,O(1),O(N),O(log N),O(sqrt(N)),O(N log N),"","","","",3,vs-ch06
single,What metric does Kademlia use to define distance between two node identifiers?,Euclidean distance on integer values,Absolute difference of integer representations of GUIDs,XOR of the two keys interpreted as an integer,Number of differing bits (Hamming distance),Longest common prefix length,"","","","",3,vs-ch06
single,In Plaxton routing what determines which row of the routing table is used when forwarding a request towards destination GUID n from node v?,The total number of bits in the GUID,The first row r where node v and destination n differ in their hexadecimal representation,The row matching the last digit of the destination GUID,The row corresponding to the TTL of the request,The row with the fewest empty entries,"","","","",2,vs-ch06
single,Which P2P file-sharing system used a centralised index server to map file names to peer addresses making it partly centralised?,Gnutella,Freenet,BitTorrent,Napster,Kazaa,"","","","",4,vs-ch06
single,"In BitTorrent, what strategy for selecting which piece to download next improves overall swarm availability?",Sequential download starting from the first piece,Random-first then rarest-first piece selection,Always download from the fastest peer first,Download only from seeders never from leechers,Download the largest pieces first,"","","","",2,vs-ch06
single,What is churn in the context of P2P overlay networks?,The hashing overhead when inserting many keys simultaneously,The frequent joining and leaving of nodes causing continuous routing table updates,A technique to balance load by assigning multiple virtual IDs per node,The process of copying key-value pairs during node departure,Congestion in the underlying IP network caused by overlay traffic,"","","","",2,vs-ch06
single,"What problem does consistent hashing with multiple virtual node IDs (tokens) solve in a DHT?",It prevents hash collisions between different keys,It reduces the routing table size to O(1),It spreads the reconfiguration burden more evenly when nodes join or leave,It eliminates the need for bootstrapping servers,It guarantees that all keys are stored on exactly one node,"","","","",3,vs-ch06
single,Which of the following best describes an overlay network in the context of P2P DHT systems?,A network layer that replaces IP routing with GUID-based addressing,A virtual graph of logical neighbour links between peers that sits on top of the physical IP network,A hardware switch fabric connecting all P2P nodes directly,A technique for encrypting overlay traffic using shared secrets,A backup network activated only when the primary IP network fails,"","","","",2,vs-ch06
