type,question,a1,a2,a3,a4,a5,a6,a7,a8,a9,correct,tags
single,Which statement best describes IP multicast compared to replicated unicast?,IP multicast requires the sender to manage each recipient separately,IP multicast delivers a single packet to multiple recipients through network-layer support,IP multicast is always more reliable than unicast,IP multicast requires application-level routing tables,,,,,,2,vs-ch07
single,"In reliable multicast, the UNIFORM AGREEMENT property states:","If the sender delivers a message, all processes eventually deliver it","If any process delivers a message, all processes eventually deliver it",Every correct process eventually delivers every message,Messages are delivered in the order they were sent,,,,,,2,vs-ch07
single,What is the 'holdback' technique used for in FIFO multicast?,To prevent duplicate messages from being delivered,To delay out-of-order messages until all prior messages from the same sender have been delivered,To buffer messages when the network is congested,To reduce the number of acknowledgements sent by receivers,,,,,,2,vs-ch07
single,What is the key difference between atomic order and total order multicast?,Total order is cheaper to implement than atomic order,Total order = Atomic order + FIFO; atomic order does not require per-sender ordering,Atomic order requires a central sequencer; total order does not,Total order allows messages from different senders to be reordered freely,,,,,,2,vs-ch07
single,"In the central sequencer approach to total-order multicast, what is the sequencer's role?",The sequencer delivers messages directly to all participants,The sequencer assigns a global sequence number to each message and broadcasts the ordering to all participants,The sequencer stores all messages and retransmits them on request,The sequencer acts as a backup sender when the original sender fails,,,,,,2,vs-ch07
single,Why are physical timestamps NOT suitable for implementing causal multicast?,Physical timestamps take too much space in message headers,"Clocks on different machines may not be synchronized, leading to incorrect causal conclusions",Physical timestamps cannot represent concurrent events,"Physical timestamps are only defined for send events, not receive events",,,,,,2,vs-ch07
single,A Lamport timestamp L(e) < L(e') implies which of the following?,Event e happened-before event e',Event e and event e' are concurrent,"Event e may have happened-before event e', but this is not guaranteed",Event e' happened-before event e,,,,,,3,vs-ch07
single,"In the vector clock update rule, when process i receives a message with timestamp vt, how is the local vector clock VC updated?",VC[i] is set to vt[i] and all other entries are unchanged,VC is replaced entirely by vt,"VC is set component-wise to max(VC, vt), then VC[i] is incremented by 1",VC[i] is incremented by 1 and all other entries are unchanged,,,,,,3,vs-ch07
single,"In the CBCAST protocol, a message with vector timestamp vt sent by process i is delivered at process j when:",vt[i] = VTj[i] and vt[k] <= VTj[k] for all k != i,vt[i] = VTj[i]+1 and vt[k] <= VTj[k] for all k != i,vt[i] <= VTj[i] and vt[k] = VTj[k] for all k != i,vt[i] = VTj[i]+1 and vt[k] >= VTj[k] for all k != i,,,,,,2,vs-ch07
single,What is a 'view' in the context of view-synchronous group communication?,A snapshot of the network topology stored at the group coordinator,The sequence of group members currently considered alive by a process,A read-only copy of the group's shared state,The set of messages delivered during a single epoch,,,,,,2,vs-ch07
