single,Which three decoupling dimensions are characteristic of publish/subscribe systems?,"Time, identity, and space","Time, identity, and protocol","Space, protocol, and reliability","Identity, ordering, and space",,,,,,1,vs-ch08
single,"In topic-based pub/sub, a publication matches a subscription when …",The publication topic list is a superset of the subscription topic list,The intersection of publication and subscription topic lists is non-empty,The subscription topic list is exactly equal to the publication topic list,The publication has at least one topic not in the subscription list,,,,,,2,vs-ch08
single,"In subject-based pub/sub (TIBCO/Rendezvous style), a subscription key/interval entry matches a publication when …",The publication contains that key and its value lies within the subscription interval,The publication contains that key regardless of the value,The subscription interval spans the entire real line,The publication omits that key entirely,,,,,,1,vs-ch08
single,What does it mean for predicate p1 to *cover* predicate p2 in CBCB content-based routing?,p1 and p2 select exactly the same set of messages,Every message selected by p2 is also selected by p1 (p1 is more general),Every message selected by p1 is also selected by p2 (p2 is more general),p1 and p2 are syntactically identical,,,,,,2,vs-ch08
single,A strict publish/subscribe system (with *no memory*) behaves as follows regarding late subscribers:,Late subscribers receive all publications that occurred before they subscribed,Late subscribers receive only publications that occur after they subscribe,Late subscribers receive a configurable number of past publications,Late subscribers are rejected until the backlog is cleared,,,,,,2,vs-ch08
single,"In 0mq pub/sub, where does topic filtering happen?",At the broker,At the publisher before sending,At the subscriber after receiving,In a dedicated filter server,,,,,,3,vs-ch08
single,The CBCB broadcast layer is built on …,A full mesh connecting all N servers,A spanning tree connecting all N servers,A ring topology with redundant links,A random graph for fault tolerance,,,,,,2,vs-ch08
single,Which pub/sub variant matches publications by inspecting their *actual payload* rather than attached metadata?,Topic-based pub/sub,Subject-based pub/sub,Content-based pub/sub,Channel-based pub/sub,,,,,,3,vs-ch08
single,"In the flooding approach for distributed event routing, one type of message is flooded to all servers and the other is sent to exactly one server. What is the primary drawback?",It provides stronger delivery guarantees than needed,It does not address dependability or load balancing,Flooding both types would be more efficient,It requires content-based predicates,,,,,,2,vs-ch08
single,"Redis pub/sub uses the term *channel* for what concept, and supports which subscription style beyond exact channel names?",Topics; content-based subscriptions using SQL-like predicates,Channels; pattern-based subscriptions using glob wildcards,Streams; subscriptions via key/value interval matching,Queues; subscriptions based on message priority,,,,,,2,vs-ch08
