single,Which statement best describes linearizability?,All replicas always hold the same value at all times,"If operation o1 completes before o2 starts, o2 must observe o1's result",Any interleaving of reads/writes is fine as long as all processes see the same order,Writes done by a single process are seen by all others in issue order,Writes that are causally related must be seen by all processes in the same order,,,,,2,vs-ch11
single,How does sequential consistency differ from linearizability?,Sequential consistency is strictly stronger than linearizability,Sequential consistency forbids concurrent operations entirely,Sequential consistency allows reordering with respect to real time; linearizability does not,Linearizability only applies to a single process; sequential consistency to multiple,They are equivalent; the terms are interchangeable,,,,,3,vs-ch11
single,"Under causal consistency, which operations must be seen by all processes in the same order?",All write operations regardless of causality,All read operations issued by a single process,Only concurrent writes,Writes that are potentially causally related,Only writes to the same data item,,,,,4,vs-ch11
single,What does eventual consistency guarantee?,Every read returns the value of the most recent write,All replicas converge to identical copies in the absence of new updates,A client always reads its own writes immediately,Write operations are applied in the same order on every replica,No concurrent writes can occur,,,,,2,vs-ch11
single,The CAP theorem states a distributed system can simultaneously guarantee at most two of three properties. Which three?,"Consistency, Availability, Partition tolerance","Consistency, Atomicity, Performance","Concurrency, Availability, Persistence","Consistency, Atomicity, Partition tolerance","Coherence, Availability, Persistence",,,,,1,vs-ch11
single,"In a quorum-based protocol with N replicas, write quorum N_W and read quorum N_R, which condition ensures every read overlaps with every write?",N_R + N_W < N  and  N_W > N/2,N_R + N_W > N  and  N_W > N/2,N_R = N_W = N,N_R > N/2  and  N_W = 1,N_R + N_W = N,,,,,2,vs-ch11
single,Which client-centric guarantee is violated when a client writes to replica A then reads from replica B and cannot see its own write?,Monotonic reads,Monotonic writes,Read-your-writes,Writes-follow-reads,FIFO consistency,,,,,3,vs-ch11
single,"For a state-based CRDT, the Merge function must satisfy which three mathematical properties?","Reflexive, Symmetric, Transitive","Commutative, Associative, Idempotent","Commutative, Distributive, Absorptive","Monotone, Idempotent, Surjective","Associative, Distributive, Reflexive",,,,,2,vs-ch11
single,Which consistency model does etcd implement for key accesses?,Eventual consistency,Causal consistency,Sequential consistency,Linearizability,FIFO consistency,,,,,4,vs-ch11
single,"In a push-based (server-initiated) update propagation protocol, what state must the server maintain that a pull-based protocol does NOT require?",The current value of each data item,A list of client replicas to notify,A global sequence number for all writes,A log of all past read operations,A version vector for each data item,,,,,2,vs-ch11
