single,Which ACID property guarantees that a transaction either completes fully or has no effect at all?,Consistency,Isolation,Atomicity,Durability,,,,,,3,vs-ch12
single,Serializability means that the concurrent execution of transactions produces the same result as:,Running them all in parallel with locks,Some sequential (serial) execution of those transactions,Running each transaction on a separate server,Executing the transactions in arrival order,,,,,,2,vs-ch12
single,"In Two-Phase Locking (2PL), the 'growing phase' allows a transaction to:",Release locks only,Both acquire and release locks freely,Acquire new locks but not release any,Release all locks at once at commit time,,,,,,3,vs-ch12
single,"In 2PC, what happens when the coordinator crashes after sending VOTE-REQUEST but before receiving all votes?",All participants immediately commit,Participants in VOTED state block indefinitely,Participants automatically elect a new coordinator,The transaction aborts immediately at all participants,,,,,,2,vs-ch12
single,"In 2PC, a participant that has voted VOTE-COMMIT but not yet received a decision is in which state?",Ready,Voted,Commit,Abort,,,,,,2,vs-ch12
single,Why is 2PC called a 'blocking' protocol?,It uses blocking I/O for all disk writes,It can reach states where surviving nodes cannot make progress without the failed coordinator,Participants must block all incoming requests while voting,It blocks the network for the entire duration of the transaction,,,,,,2,vs-ch12
single,Which additional message phase does 3PC introduce compared to 2PC to avoid blocking?,PRE-ABORT phase before the abort decision,PREPARE-COMMIT phase between voting and the final commit,A second voting round among participants,A coordinator-recovery phase triggered by timeout,,,,,,2,vs-ch12
single,"In 3PC, if a participant times out while in the PreCommit state, it should:",Abort immediately to stay safe,Wait indefinitely for the coordinator,Broadcast a commit to other participants and commit,Contact the original coordinator only,,,,,,3,vs-ch12
single,Why can 3PC still fail to be both safe and live in the presence of a network partition?,3PC does not use timeouts,"A partitioned node cannot distinguish a crashed coordinator from an unreachable one, so it cannot determine whether to commit or abort safely",3PC requires a majority quorum that is never achievable,3PC aborts automatically on any network error,,,,,,2,vs-ch12
single,The Chandy-Lamport distributed snapshot algorithm uses 'marker' messages primarily to:,Terminate all running transactions,Signal each process to record its local state and delimit in-transit messages on each channel,Detect and break deadlock cycles,Elect a new coordinator after a failure,,,,,,2,vs-ch12
