single,Which property does the CAP theorem say you CANNOT simultaneously guarantee in a distributed data store?,Consistency and Availability,Availability and Partition-tolerance,"All three: Consistency, Availability, and Partition-tolerance",Partition-tolerance and Consistency,,,,,,3,vs-ch14
single,"In the PACELEC framework, what trade-off exists when there is NO partition?",Availability vs. Consistency,Latency vs. Consistency,Scalability vs. Durability,Throughput vs. Availability,,,,,,2,vs-ch14
single,What does BASE stand for in the context of NoSQL databases?,"Basically Available, Structured, Eventually consistent","Basically Available, Soft state, Eventually consistent","Binary Available, Scalable, Eventually consistent","Broadly Available, Strict, Eventually consistent",,,,,,2,vs-ch14
single,"Which NoSQL data model uses nodes and edges as first-class citizens, enabling O(1) per-hop traversal?",Key-value store,Column-oriented store,Document store,Graph database,,,,,,4,vs-ch14
single,Amazon Dynamo uses which technique to distribute and replicate data across nodes?,Range-based sharding with a central coordinator,Consistent hashing with replication to the next N nodes on the ring,Two-phase commit with a designated primary,Random placement with a global index,,,,,,2,vs-ch14
single,"In Dynamo, when two replicas of a shopping cart diverge due to a network partition, who resolves the conflict?",The primary replica automatically picks the newer version,Dynamo discards one version based on timestamp,"The application, after Dynamo returns all conflicting versions",A quorum vote among replicas determines the winner,,,,,,3,vs-ch14
single,Cassandra's CAP position by default is AP (Available + Partition-tolerant). Which consistency level forces strong consistency at the cost of availability?,ONE,QUORUM,ALL,LOCAL_ONE,,,,,,3,vs-ch14
single,MongoDB stores documents internally in which format?,XML,Plain JSON text,BSON (Binary JSON),CSV,,,,,,3,vs-ch14
single,What is 'impedance mismatch' in the context of SQL databases and application code?,The CPU overhead of encrypting database connections,The difficulty of mapping object-oriented data structures to relational tables,The latency difference between in-memory and on-disk storage,The incompatibility between SQL dialects from different vendors,,,,,,2,vs-ch14
single,"In DNS, what does the Time-To-Live (TTL) field of a resource record control?",How long the DNS server waits before retrying a failed query,The maximum length of a domain name,How long a resolver may cache the record before considering it stale,The maximum number of recursive hops allowed in a query,,,,,,3,vs-ch14
